state,population,area km2,no_hospitals,hosp_beds,vent_beds,ICU_beds,shg,blood_collect
Andaman and Nicobar Islands,417036,8249,36,1294,32,65,971,4448
Andhra Pradesh,53903393,162968,928,83230,2081,4162,762132,603905
Arunachal Pradesh,1570458,83743,238,2624,66,131,3692,6051
Assam,35607039,78438,1729,24178,604,1209,296797,234488
Bihar,124799926,94163,3034,30857,771,1543,991099,222969
Chandigarh,1158473,114,13,5631,141,282,,92626
Chhattisgarh,29436231,135191,396,17430,436,871,195350,226416
Dadra and Nagar Haveli,615724,603,18,941,24,47,563,9247
Daman and Diu,243247,111,26,1250,31,63,,2582
Delhi,18710922,1484,176,39455,986,1973,,411429
Goa,1586250,3702,65,4584,115,229,3015,22752
Gujarat,63872399,196024,1408,64862,1622,3243,254011,928575
Haryana,28204692,44212,2148,36141,904,1807,45579,431784
Himachal Pradesh,7451955,55673,1036,16040,401,802,25861,45362
Jammu and Kashmir,13895343,138942,157,7995,200,400,47095,73763
Jharkhand,38593948,79714,1364,26496,662,1325,254972,229518
Karnataka,67562686,191791,10684,262109,6553,13105,195181,854484
Kerala,35699443,38863,3342,99227,2481,4961,239955,456856
Lakshadweep,73183,32,13,426,11,21,180,-
Madhya Pradesh,85358965,308245,971,64939,1623,3247,329385,553830
Maharashtra,123144223,307713,3203,231739,5793,11587,511327,1339424
Manipur,3091545,22327,38,1790,45,90,2462,23257
Meghalaya,3366710,22429,185,5244,131,262,32602,17033
Mizoram,1239244,21081,113,2496,62,125,6931,25552
Nagaland,2249695,16579,49,2561,64,128,12274,13318
Odisha,46356334,155707,2501,25650,641,1282,466575,389877
Puducherry,1413542,479,20,5172,129,259,3295,44579
Punjab,30141373,50362,2320,60997,1525,3050,24866,438909
Rajasthan,81032689,342239,5644,93176,2329,4659,166809,822418
Sikkim,690251,7096,41,1952,49,98,5141,3789
Tamil Nadu,77841267,130051,2439,155375,3884,7769,292434,920297
Telangana,39362732,112077,4110,99919,2498,4996,407738,397315
Tripura,4169794,10486,164,4667,117,233,27136,27056
Uttar Pradesh,237882725,240928,17103,281402,7035,14070,472235,1279480
Uttarakhand,11250858,53483,1289,23843,596,1192,31846,132679
West Bengal,99609303,88752,2263,113535,2838,5677,872111,1205897
